image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.2.07,512,512,noise,15,64,16,4,3.9960975609756098,1.1848377367487073,1.463164926217396,786572,526799,650548,444617,228.49681091308594,24.542002177859544,0.4799988211405914,15895162.0,0.23386304080486298
4.2.07,512,512,noise,20,4,16,4,11.997803136632697,9.39672148692519,12.220363169348222,786572,526799,685098,56062,659.8562622070312,19.936310182485613,0.44529072591923735,121807616.0,0.3897798955440521
4.2.07,512,512,noise,20,8,16,4,7.998047351720771,4.824696853134044,6.274480712166172,786572,526799,685098,109188,405.4659118652344,22.05126012582435,0.45267674821292286,72659088.0,0.3040449321269989
4.2.07,512,512,noise,20,16,16,4,5.997803538743136,2.5766894271403977,3.3509645484426356,786572,526799,685098,204448,388.8273620605469,22.233235419238977,0.40340452195873916,48840412.0,0.249978706240654
4.2.07,512,512,noise,20,32,16,4,4.797189146984189,1.5393262366791634,2.0018817919100482,786572,526799,685098,342227,377.8836975097656,22.357222046859334,0.3852948394873171,31930182.0,0.2377331256866455
4.2.07,512,512,noise,20,64,16,4,3.9960975609756098,1.0330931668248602,1.3435296240224033,786572,526799,685098,509924,381.2002258300781,22.319272116174456,0.37620729355037547,20447252.0,0.23219548165798187
4.2.07,512,512,noise,30,4,16,4,11.997803136632697,7.220479995613975,10.018106059567703,786572,526799,730911,72959,831.60595703125,18.93162769221785,0.3414993714747523,165215776.0,0.3392884135246277
4.2.07,512,512,noise,30,8,16,4,7.998047351720771,3.597248113626276,4.991027348151183,786572,526799,730911,146445,704.4264526367188,19.652447046310854,0.3152788373998913,107376296.0,0.26347532868385315
4.2.07,512,512,noise,30,16,16,4,5.997803538743136,2.006891559839235,2.7844758947789483,786572,526799,730911,262495,763.331298828125,19.30367290770256,0.26682896315360055,70886000.0,0.23970387876033783
4.2.07,512,512,noise,30,32,16,4,4.797189146984189,1.209117053678197,1.677598011425581,786572,526799,730911,435689,802.60302734375,19.085795673487272,0.2517099845028592,46183716.0,0.23737642168998718
4.2.07,512,512,noise,30,64,16,4,3.9960975609756098,0.883684845312922,1.226074791281899,786572,526799,730911,596139,802.85205078125,19.084448398099607,0.25124662412932475,29445448.0,0.2374267578125
lena_color,512,512,clean,0,4,16,4,11.997803136632697,14.243146671240316,,786572,498268,,34983,272.7998962402344,23.772361600678614,0.6954977302798632,41003084.0,0.4859482944011688
lena_color,512,512,clean,0,8,16,4,7.998047351720771,7.894730170802041,,786572,498268,,63114,133.2586669921875,26.883848962314012,0.7681840226137454,19905812.0,0.4054320454597473
lena_color,512,512,clean,0,16,16,4,5.997803538743136,4.914418723924686,,786572,498268,,101389,70.03573608398438,29.677606633703544,0.8060167487067683,10519172.0,0.36281633377075195
lena_color,512,512,clean,0,32,16,4,4.797189146984189,3.0522150347936883,,786572,498268,,163248,39.510040283203125,32.16372888393148,0.8640659175006881,5877822.5,0.302886962890625
lena_color,512,512,clean,0,64,16,4,3.9960975609756098,2.0165282566817218,,786572,498268,,247092,23.89019775390625,34.34860616179782,0.9049634822339535,3538412.0,0.276635080575943
lena_color,512,512,noise,5,4,16,4,11.997803136632697,12.3578373015873,13.541939484126985,786572,498268,546011,40320,278.8099670410156,23.677720657836097,0.6753309225476155,43802936.0,0.4692957103252411
lena_color,512,512,noise,5,8,16,4,7.998047351720771,6.614030663038428,7.247773279352227,786572,498268,546011,75335,140.94781494140625,26.64022013304812,0.7379009364287238,22512668.0,0.3778889775276184
lena_color,512,512,noise,5,16,16,4,5.997803538743136,3.9431167104555094,4.320937925358488,786572,498268,546011,126364,80.35112762451172,29.080883849624886,0.7599728096049706,12636736.0,0.31438112258911133
lena_color,512,512,noise,5,32,16,4,4.797189146984189,2.3400004696268812,2.564214431634067,786572,498268,546011,212935,52.91551208496094,30.89497357540424,0.796373924992992,7793227.5,0.26803258061408997
